barangId,interactionStrength
66c6afbc677a98b2c7537b7b,2.0
66ca28a874a635bcb79ba5f9,2.0
66c9f64e74a635bcb79ba5d3,2.0
66c983dc74a635bcb79ba58a,2.0
66c61e35677a98b2c7537b33,1.0
66c46d1f4b94c4f80d16846b,1.0
66c49c8ea2c509d5898367a4,1.0
66c485b4a2c509d58983671d,1.0
66c6aeed677a98b2c7537b77,1.0
66c6e5a906c41ff63b918945,1.0
66c6e5c206c41ff63b918947,1.0
66c751d106c41ff63b918961,1.0
66c80c8b06c41ff63b918965,1.0
66c80d2506c41ff63b91896b,1.0
66c80df606c41ff63b91896f,1.0
66c82b3906c41ff63b918a17,1.0
66c84e5206c41ff63b918a29,1.0
66c850fd06c41ff63b918a39,1.0
66c8511d06c41ff63b918a3b,1.0
66c8527d06c41ff63b918a3f,1.0
66c852ed06c41ff63b918a41,1.0
66c621aa677a98b2c7537b39,1.0
66c6ad36677a98b2c7537b6d,1.0
66c614b6677a98b2c7537b23,1.0
66c9734092f218787745a131,1.0
66c8540206c41ff63b918a47,1.0
66c8537706c41ff63b918a43,1.0
66c9802f74a635bcb79ba560,1.0
66c9841a74a635bcb79ba58c,1.0
66c9846874a635bcb79ba58e,1.0
66c985b774a635bcb79ba592,1.0
66c9736c92f218787745a133,1.0
66c9862574a635bcb79ba594,1.0
66c9868374a635bcb79ba596,1.0
66c9cd8d74a635bcb79ba5a0,1.0
66c9ccc474a635bcb79ba59c,1.0
66c9ce2c74a635bcb79ba5a4,1.0
66c9f47774a635bcb79ba5c5,1.0
66c9f68774a635bcb79ba5d5,1.0
66c9827774a635bcb79ba56a,1.0
66ca241b74a635bcb79ba5dd,1.0
66ca27b174a635bcb79ba5f5,1.0
66ca88a674a635bcb79ba607,1.0
66ca8c0a74a635bcb79ba659,1.0
66ca8c6a74a635bcb79ba65b,1.0
66cb533174a635bcb79ba6bf,1.0
66cb537574a635bcb79ba6c1,1.0
66cb778b74a635bcb79ba6cf,1.0
66cb77c874a635bcb79ba6d1,1.0
66cb790874a635bcb79ba6d7,1.0
66cb795374a635bcb79ba6d9,1.0
66cb798474a635bcb79ba6db,1.0
66cb79ca74a635bcb79ba6dd,1.0
66cb7a7774a635bcb79ba6e3,1.0
66cb7adf74a635bcb79ba6e7,1.0
66cb7bba74a635bcb79ba6ed,1.0
