669f9be0a4983453ddb05d5e,66d9c7b18478772e18d62e76,66d9c9218478772e18d62ed5,66d9c99d8478772e18d62f23,66d9c9f08478772e18d62f64,66d9cc498478772e18d62fd1,66d9ccdf8478772e18d63046,66d9cced8478772e18d63053,66d9ccf98478772e18d63060,66d9cd0c8478772e18d6306d,66d9cd278478772e18d63087,66d9cd668478772e18d630c8
0.5540970937771938,0.18469903125906467,0.18469903125906434,0.18469903125906448,0.18469903125906484,0.18469903125906456,0.554097093777194,0.1846990312590645,0.1846990312590649,0.18469903125906467,0.18469903125906473,0.18469903125906464
0.18469903125906467,0.18469903125906467,0.18469903125906453,0.1846990312590646,0.18469903125906467,0.1846990312590646,0.18469903125906473,0.18469903125906476,0.18469903125906456,0.18469903125906426,0.9234951562953234,0.18469903125906467
0.18469903125906464,0.18469903125906437,0.18469903125906456,0.18469903125906448,0.18469903125906503,0.1846990312590648,0.18469903125906467,0.9234951562953231,0.18469903125906476,0.1846990312590649,0.18469903125906456,0.18469903125906464
0.18469903125906456,0.1846990312590645,0.18469903125906445,0.18469903125906467,0.18469903125906456,0.18469903125906464,0.1846990312590646,0.18469903125906464,0.18469903125906464,0.18469903125906476,0.18469903125906467,0.9234951562953227
0.18469903125906464,0.18469903125906467,0.1846990312590646,0.18469903125906476,0.18469903125906464,0.18469903125906456,0.18469903125906467,0.18469903125906484,0.18469903125906456,0.18469903125906456,0.1846990312590646,0.9234951562953227
0.18469903125906473,0.18469903125906442,0.18469903125906453,0.18469903125906453,0.184699031259065,0.18469903125906484,0.18469903125906473,0.9234951562953227,0.18469903125906467,0.1846990312590649,0.1846990312590646,0.18469903125906464
0.18469903125906467,0.18469903125906464,0.1846990312590645,0.1846990312590646,0.18469903125906456,0.1846990312590646,0.18469903125906473,0.18469903125906467,0.18469903125906445,0.1846990312590643,0.9234951562953227,0.18469903125906464
0.18469903125906464,0.8153009687409346,0.2612038749637413,1.0,0.18469903125906542,0.184699031259065,0.18469903125906442,0.18469903125906395,0.1846990312590651,0.18469903125906426,0.18469903125906437,0.18469903125906476
0.18469903125906442,0.44590290622280604,0.7387961250362589,1.0252855856488749e-16,0.1846990312590652,0.18469903125906492,0.18469903125906428,0.18469903125906434,0.18469903125906484,0.18469903125906434,0.18469903125906448,0.18469903125906464
0.1846990312590646,0.1846990312590649,0.1846990312590649,0.18469903125906476,0.18469903125906426,0.9234951562953227,0.1846990312590646,0.1846990312590643,0.18469903125906473,0.18469903125906448,0.18469903125906464,0.1846990312590646
0.18469903125906445,0.4459029062228059,0.0,0.7387961250362587,0.18469903125906492,0.18469903125906476,0.1846990312590644,0.1846990312590644,0.1846990312590648,0.18469903125906453,0.18469903125906448,0.18469903125906473
