userId,barangId,interactionStrength
66d9ccdf8478772e18d63046,Obeng Ketok gg kuning ATS,0.693147181
66d9cced8478772e18d63053,Raskam Power,0.693147181
66d9cced8478772e18d63053,Silinder kunci ATSpro,0.693147181
66d9cced8478772e18d63053,Baut BJP (baut jangkar plat) Togglers,0.693147181
66d9cced8478772e18d63053,Grendel GTK rush,0.693147181
66d9ccf98478772e18d63060,Overpal badak Tyro 300,0.693147181
66d9ccf98478772e18d63060,Silinder B Classic,0.693147181
66d9ccf98478772e18d63060,Lem bakar,0.693147181
66d9ccf98478772e18d63060,Mata bor beton Joran eterna,0.693147181
66d9cd0c8478772e18d6306d,Tang stel bais bulat Tekiro,0.693147181
66d9cd0c8478772e18d6306d,Sarung tangan karet eterna,0.693147181
66d9cd0c8478772e18d6306d,Obeng trans ATS,0.693147181
66d9cd0c8478772e18d6306d,Obeng BB Panda/USA,0.693147181
66d9cd278478772e18d63087,mata bor naga,0.693147181
66d9cd278478772e18d63087,Palu pen 300,0.693147181
66d9cd278478772e18d63087,Katrol plat warna,0.693147181
66d9cd278478772e18d63087,Mata Bor Beton HIOSHI,0.693147181
66d9cd338478772e18d63094,Lem pipa Sharplast,0.693147181
66d9cd338478772e18d63094,Ring M10 50pcs,0.693147181
66d9cd338478772e18d63094,Tang komb ats,0.693147181
66d9cd338478772e18d63094,Kran PVC SS AP,0.693147181
66d9cd408478772e18d630a1,Gergaji kayu Bonuci,0.693147181
66d9cd408478772e18d630a1,"engsel plat 3"" opo",0.693147181
66d9cd408478772e18d630a1,Batu asah Guano/SJT,0.693147181
66d9cd598478772e18d630bb,Palu kambing  SAR,0.693147181
66d9cd598478772e18d630bb,Engsel Pintu plat vion GP,0.693147181
66d9cd598478772e18d630bb,Gembok nomor merah,0.693147181
66d9cd668478772e18d630c8,Overpal Robin,0.693147181
66d9cd668478772e18d630c8,Gergaji Kayu Viano,0.693147181
66d9cd668478772e18d630c8,Gergaji kayu Bonuci,0.693147181
66d9cd668478772e18d630c8,Gembok chrom ATS,0.693147181
